	tweet	class
0	rt mayasolovely woman complain cleaning house man always take trash	0
1	momma said pussy cats inside doghouse	0
2	addicted guys simplyaddictedtoguys http co jl hi zmf woof woof hot scally lad	0
3	allaboutmanfeet http co gzupfumev woof woof hot soles	0
4	allyhaaaaa lemmie eat oreo dishes one oreo lol	0
5	arizonasfinest eggplant emoji doe say looked like scream lmao	0
6	babyanimalpics baby monkey bathtime http co kpwadlf r	0
7	blackman tide whalelookyhere howdydowdy queer gaywad	1
8	cb baby white thunduh alsarabsss hes beaner smh tell hes mexican	1
9	devilgrimz vigxrarts fucking gay blacklisted hoe holding tehgodclan anyway http co xuccwoetmn	1
10	domworldpeace baseball season win yankees love started	0
11	dunderbail early bird night owl wise worms	0
12	edgarpixar overdosing heavy drugs sound bad tonight pussy shit every day	0
13	el grillo pit bulls photographed lovely fairy tale creatures http co q sm oolh	0
14	flokid long lakers trash could careless real cc benballer hahaha	0
15	funnypicsdepot play soccer cheat girls wear khaki coloured cargos haircut http co zuai qwbir yup	0
16	hermosaalma ghetto smart https co mpazq jswf idc	0
17	jreebo wants get nose bad bois scally chav sockfetish stinking http co feqxgn w hot sox legs	0
18	keyshawnswag peel peel bring back rewind back move shaq line ooooow tf said trash	0
19	knightfanneal ucfpinkparty come stay alive knights nation still early bird special comeatmeut	0
20	mlbnetwork stay tuned mlbnetwork update report yankees b teixeiramark weeks dliming bum	0
21	rad dezdlt play soccer cheat girls wear khaki coloured cargos haircut http co tycihd pkw yes lmfao soccerboy	0
22	markroundtreejr lmfaoooo hate black people https co rnvd nlcdr black people niggers	1
23	maxmayo http co jk kr x pissed lad past would lick dirty soles slept	0
24	maxmayo http co prrskknqrv love frat boy w soft long soles	0
25	maxmayo http co xpsc makgj sexy lad hot soles arches	0
26	mesha nojas vontethekidd got hicks lol	0
27	motherjones birds grandkids may never see thanks climate change http co xqmxhkaswt http co rbitegrnhm climate	0
28	nochillpaz least nigger http co rgja cfoit	1
29	notoriousbm whiteponyjr ariza snake coward least cripple like hero roach lmaoo	1
30	osay aint ignorealllaws fosters home imaginary trash whoa chill	0
31	quan welfare government aid claimed white people black slander trash	0
32	rtnba drakes new shoes released nike jordan yes glitter shoes http co qctplxhexm dudes fag	1
33	rachiesoul dizzleofficial inna di ghetto alone lmaoo	0
34	ramboutit master tolife ramboutit hoes austin teach us austin teach u get curved know	0
35	sportscenter eli manning threw nfl leading th interception season lmao trash	0
36	sportscenter usc senior rb anthony brown calls head coach steve sarkisian racist quits team http co joosdsubir bitch	0
